cpt_code,section,spine_region,procedure,work_rvus
63267,Incision,Lumbar,"laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; lumbar",19.45
63268,Incision,Sacral,"laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; sacral",20.02
63270,Incision,Cervical,"laminectomy for excision of intraspinal lesion other than neoplasm, intradural; cervical",29.8
63271,Incision,Thoracic,"laminectomy for excision of intraspinal lesion other than neoplasm, intradural; thoracic",29.92
63272,Incision,Lumbar,"laminectomy for excision of intraspinal lesion other than neoplasm, intradural; lumbar",27.5
63273,Incision,Sacral,"laminectomy for excision of intraspinal lesion other than neoplasm, intradural; sacral",26.47
63275,Incision,Cervical,"laminectomy for biopsy/excision of intraspinal neoplasm; extradural, cervical",25.86
63276,Incision,Thoracic,"laminectomy for biopsy/excision of intraspinal neoplasm; extradural, thoracic",25.69
63277,Incision,Lumbar,"laminectomy for biopsy/excision of intraspinal neoplasm; extradural, lumbar",22.39
63278,Incision,Sacral,"laminectomy for biopsy/excision of intraspinal neoplasm; extradural, sacral",22.12
63280,Incision,Cervical,"laminectomy for biopsy/excision of intra-spinal neoplasm; intradural, extramedullary, cervical",30.29
63281,Incision,Thoracic,"laminectomy for biopsy/excision of intra-spinal neoplasm; intradural, extramedullary, thoracic",29.99
63282,Incision,Lumbar,"laminectomy for biopsy/excision of intra-spinal neoplasm; intradural, extramedullary, lumbar",28.15
63283,Incision,Sacral,"laminectomy for biopsy/excision of intraspi-spinal oplasm; intradural, sacral",26.76
63285,Incision,Cervical,"laminectomy for biopsy/excision of intra-spinal neoplasm; intradural, intramedullary, cervical",38.05
63286,Incision,Thoracic,"laminectomy for biopsy/excision of intra-spinal neoplasm; intradural, intramedullary, thoracic",37.62
63287,Incision,Lumbar,"laminectomy for biopsy/excision of intra-spinal neoplasm; intradural, intramedullary, thoracolumbar",40.08
63290,Incision,unspecified,"laminectomy for biopsy/excision of intraspi-spinal neoplasm; combined extradural-intradural lesion, any level",40.82
63300,"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion",Cervical,"vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural, cervical",26.8
63301,"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion",Thoracic,"vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural, thoracic by transthoracic approach",31.57
63302,"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion",Thoracic,"vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural, thoracic by thoracolumbar approach",31.15
63303,"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion",Lumbar,"vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural, lumbar or sacral by transperitoneal or retroperitoneal approach",33.55
63304,"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion",Cervical,"vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural, cervical",33.85
63305,"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion",Thoracic,"vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural, thoracic by transthoracic approach",36.24
63306,"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion",Thoracic,"vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural, thoracic by thoracolumbar approach",35.55
63307,"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion",Lumbar,"vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural, lumbar or sacral by transperitoneal or retroperitoneal approach",34.96
63600,Stereotaxis,unspecified,"creation of lesion of spinal cord by stereotactic method, percutaneous, any modality (including stimulation and/or recording)",15.12
63610,Stereotaxis,unspecified,"stereotactic stimulation of spinal cord, percutaneous, separate procedure not followed by other surgery",8.72
63620,Stereotactic Radiosurgery (Spinal),unspecified,"stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); 1 spinal lesion",15.6
63650,Stereotactic Radiosurgery (Spinal),unspecified,"percutaneous implantation of neurostimulator electrode array, epidural",7.15
63655,Stereotactic Radiosurgery (Spinal),unspecified,"laminectomy for implantation of neurostimulator electrodes, plate/paddle, epidural",10.92
63661,Stereotactic Radiosurgery (Spinal),unspecified,"removal of spinal neurostimulator electrode percutaneous array(s), including fluoroscopy, when performed",5.08
63662,Stereotactic Radiosurgery (Spinal),unspecified,"removal of spinal neurostimulator electrode plate/paddle(s) placed via laminotomy or laminectomy, including fluoroscopy, when performed",11
63663,Stereotactic Radiosurgery (Spinal),unspecified,"revision including replacement, when performed, of spinal neurostimulator electrode percutaneous array(s), including fluoroscopy, when performed",7.75
63664,Stereotactic Radiosurgery (Spinal),unspecified,"revision including replacement, when performed, of spinal neurostimulator electrode plate/paddle(s) placed via laminotomy or laminectomy, including fluoroscopy, when performed",11.52
63685,Stereotactic Radiosurgery (Spinal),unspecified,"insertion or replacement of spinal neurostimulator pulse generator or receiver, direct or inductive coupling",5.19
63688,Stereotactic Radiosurgery (Spinal),unspecified,revision or removal of implanted spinal neurostimulator pulse generator or receiver,5.3
63700,Repair,unspecified,repair of meningocele; less than 5 cm diameter,17.47
63702,Repair,unspecified,repair of meningocele; larger than 5 cm diameter,19.41
63704,Repair,unspecified,repair of myelomeningocele; less than 5 cm diameter,22.43
63706,Repair,unspecified,repair of myelomeningocele; larger than 5 cm diameter,25.35
63707,Repair,unspecified,"repair of dural/cerebrospinal fluid leak, not requiring laminectomy",12.65
63709,Repair,unspecified,"repair of dural/cerebrospinal fluid leak or pseudomeningocele, with laminectomy",15.65
63710,Repair,unspecified,"dural graft, spinal",15.4
63740,Repair,Lumbar,"creation of shunt, lumbar, subarachnoid-peritoneal, -pleural, or other; including laminectomy",12.63
63741,Repair,Lumbar,"creation of shunt, lumbar, subarachnoid-peritoneal, -pleural, or other; percutaneous, not requiring laminectomy",9.12
63744,Repair,unspecified,"replacement, irrigation or revision of lumbosubarachnoid shunt",8.94
63746,Repair,unspecified,removal of entire lumbosubarachnoid shunt system without replacement,7.33
