level,vertebral_number,category,implant,side,x,y,length,width,angle,grade,left_x,superior_y,right_x,inferior_y,superior_vert_inferior_pedicle_x,superior_vert_inferior_pedicle_y,superior_lamina_y,superior_lateral_tp_x,inferior_lamina_y,inferior_pedicle_x,inferior_pedicle_y
T9,17,implant,translaminar_screw,left,0.49,0.511,1,0.75,-15,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,laminar_downgoing_hook,left,0.489,0.527,,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,laminar_upgoing_hook,left,0.489,0.494,,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,tp_hook,left,0.476,0.532,,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,pedicle_screw,right,0.525,0.529,0.7,1,-2,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,translaminar_screw,right,0.51,0.511,1,0.75,-15,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,laminar_downgoing_hook,right,0.511,0.527,,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,laminar_upgoing_hook,right,0.511,0.494,,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,tp_hook,right,0.524,0.532,,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,tether,right,0.5,0.498,0.033,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,sublaminar_wire,right,0.515,0.528,0.03,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,sublaminar_wire,left,0.485,0.528,0.03,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,pedicle_hook,left,0.475,0.529,,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T9,17,implant,pedicle_hook,right,0.525,0.529,,,,,,,,,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T10,18,implant,pedicle_screw,left,0.475,0.492,0.6,1,0,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,translaminar_screw,left,0.49,0.48,1,0.75,-15,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,laminar_downgoing_hook,left,0.489,0.491,,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,laminar_upgoing_hook,left,0.489,0.461,,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,tp_hook,left,0.476,0.496,,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,pedicle_screw,right,0.525,0.492,0.6,1,0,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,translaminar_screw,right,0.51,0.48,1,0.75,-15,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,laminar_downgoing_hook,right,0.511,0.491,,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,laminar_upgoing_hook,right,0.511,0.461,,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,tp_hook,right,0.524,0.496,,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,tether,right,0.5,0.465,0.035,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,sublaminar_wire,right,0.515,0.496,0.031,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,sublaminar_wire,left,0.485,0.496,0.031,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,pedicle_hook,left,0.475,0.492,,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T10,18,implant,pedicle_hook,right,0.525,0.492,,,,,,,,,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T11,19,implant,pedicle_screw,left,0.475,0.453,0.5,1,5,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,translaminar_screw,left,0.49,0.445,1,0.75,-15,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,laminar_downgoing_hook,left,0.489,0.46,,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,laminar_upgoing_hook,left,0.489,0.421,,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,tp_hook,left,0.476,0.46,,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,pedicle_screw,right,0.525,0.453,0.5,1,5,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,translaminar_screw,right,0.51,0.445,1,0.75,-15,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,laminar_downgoing_hook,right,0.511,0.46,,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,laminar_upgoing_hook,right,0.511,0.421,,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,tp_hook,right,0.524,0.46,,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,tether,right,0.5,0.43,0.035,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,sublaminar_wire,right,0.515,0.463,0.038,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,sublaminar_wire,left,0.485,0.463,0.038,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,pedicle_hook,left,0.475,0.453,,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T11,19,implant,pedicle_hook,right,0.525,0.453,,,,,,,,,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T12,20,implant,pedicle_screw,left,0.475,0.423,0.6,1,10,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,translaminar_screw,left,0.49,0.407,1,0.75,-15,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,laminar_downgoing_hook,left,0.489,0.42,,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,laminar_upgoing_hook,left,0.489,0.382,,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,tp_hook,left,0.476,0.43,,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,pedicle_screw,right,0.525,0.423,0.6,1,10,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,translaminar_screw,right,0.51,0.407,1,0.75,-15,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,laminar_downgoing_hook,right,0.511,0.42,,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,laminar_upgoing_hook,right,0.511,0.382,,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,tp_hook,right,0.524,0.43,,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,tether,right,0.5,0.395,0.033,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,sublaminar_wire,right,0.515,0.425,0.039,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,sublaminar_wire,left,0.485,0.425,0.039,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,pedicle_hook,left,0.475,0.423,,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
T12,20,implant,pedicle_hook,right,0.525,0.423,,,,,,,,,0.484,0.447,0.427,0.47,0.393,0.484,0.411
L1,21,implant,pedicle_screw,left,0.4725,0.384,0.7,1,10,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,translaminar_screw,left,0.49,0.372,1,0.75,-15,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,laminar_downgoing_hook,left,0.489,0.38,,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,laminar_upgoing_hook,left,0.489,0.348,,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,tp_hook,left,0.474,0.39,,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,pedicle_screw,right,0.5275,0.384,0.7,1,10,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,translaminar_screw,right,0.51,0.372,1,0.75,-15,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,laminar_downgoing_hook,right,0.511,0.38,,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,laminar_upgoing_hook,right,0.511,0.348,,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,tp_hook,right,0.526,0.39,,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,tether,right,0.5,0.362,0.037,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,sublaminar_wire,right,0.515,0.383,0.031,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L1,21,implant,sublaminar_wire,left,0.485,0.383,0.031,,,,,,,,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L2,22,implant,pedicle_screw,left,0.47,0.352,0.8,1.25,5,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,translaminar_screw,left,0.49,0.335,1,0.75,-15,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,laminar_downgoing_hook,left,0.489,0.348,,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,laminar_upgoing_hook,left,0.489,0.313,,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,tp_hook,left,0.472,0.36,,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,pedicle_screw,right,0.53,0.352,0.8,1.25,5,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,translaminar_screw,right,0.51,0.335,1,0.75,-15,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,laminar_downgoing_hook,right,0.511,0.348,,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,laminar_upgoing_hook,right,0.511,0.313,,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,tp_hook,right,0.528,0.36,,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,tether,right,0.5,0.325,0.037,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,sublaminar_wire,right,0.515,0.349,0.032,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L2,22,implant,sublaminar_wire,left,0.485,0.349,0.032,,,,,,,,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L3,23,implant,pedicle_screw,left,0.4675,0.311,0.9,1.25,0,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,translaminar_screw,left,0.49,0.298,1,0.75,-15,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,laminar_downgoing_hook,left,0.489,0.31,,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,laminar_upgoing_hook,left,0.489,0.28,,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,tp_hook,left,0.47,0.318,,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,pedicle_screw,right,0.5325,0.311,0.9,1.25,0,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,translaminar_screw,right,0.51,0.298,1,0.75,-15,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,laminar_downgoing_hook,right,0.511,0.31,,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,laminar_upgoing_hook,right,0.511,0.28,,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,tp_hook,right,0.53,0.318,,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,tether,right,0.5,0.288,0.032,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,sublaminar_wire,right,0.515,0.315,0.031,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L3,23,implant,sublaminar_wire,left,0.485,0.315,0.031,,,,,,,,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L4,24,implant,pedicle_screw,left,0.465,0.272,1,1.25,-10,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,translaminar_screw,left,0.49,0.26,1,0.75,-15,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,laminar_downgoing_hook,left,0.489,0.27,,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,laminar_upgoing_hook,left,0.489,0.243,,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,tp_hook,left,0.468,0.278,,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,pedicle_screw,right,0.535,0.272,1,1.25,-10,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,translaminar_screw,right,0.51,0.26,1,0.75,-15,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,laminar_downgoing_hook,right,0.511,0.27,,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,laminar_upgoing_hook,right,0.511,0.243,,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,tp_hook,right,0.532,0.278,,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,tether,right,0.5,0.256,0.036,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,sublaminar_wire,right,0.515,0.274,0.027,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L4,24,implant,sublaminar_wire,left,0.485,0.274,0.027,,,,,,,,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L5,25,implant,pedicle_screw,left,0.4625,0.235,1.2,1.5,-20,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,translaminar_screw,left,0.49,0.224,1,0.75,-15,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,laminar_downgoing_hook,left,0.489,0.235,,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,laminar_upgoing_hook,left,0.489,0.21,,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,tp_hook,left,0.466,0.238,,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,pedicle_screw,right,0.5375,0.235,1.2,1.5,-20,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,translaminar_screw,right,0.51,0.224,1,0.75,-15,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,laminar_downgoing_hook,right,0.511,0.235,,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,laminar_upgoing_hook,right,0.511,0.21,,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,tp_hook,right,0.534,0.238,,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,tether,right,0.5,0.22,0.035,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,sublaminar_wire,right,0.515,0.238,0.024,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
L5,25,implant,sublaminar_wire,left,0.485,0.238,0.024,,,,,,,,0.478,0.261,0.238,0.44,0.213,0.475,0.228
S1,26,implant,pedicle_screw,left,0.46,0.204,1.5,1.5,-30,,,,,,0.475,0.228,0.197,0.44,0.17,0.46,0.19
S1,26,implant,pedicle_screw,right,0.54,0.204,1.5,1.5,-30,,,,,,0.475,0.228,0.197,0.44,0.17,0.46,0.19
Iliac,27,implant,pelvic_screw,left,0.447,0.18,3,1.5,-150,,,,,,,,,,,,
Iliac,27,implant,pelvic_screw,left,0.441,0.199,3,1.5,-150,,,,,,,,,,,,
Iliac,27,implant,pelvic_screw,right,0.553,0.18,3,1.5,-150,,,,,,,,,,,,
Iliac,27,implant,pelvic_screw,right,0.559,0.199,3,1.5,-150,,,,,,,,,,,,
S2AI,28,implant,pelvic_screw,left,0.466,0.166,3,1.5,-155,,,,,,,,,,,,
S2AI,28,implant,pelvic_screw,left,0.467,0.158,3,1.5,-155,,,,,,,,,,,,
S2AI,28,implant,pelvic_screw,right,0.534,0.166,3,1.5,-155,,,,,,,,,,,,
S2AI,28,implant,pelvic_screw,right,0.533,0.158,3,1.5,-155,,,,,,,,,,,,
C7,,osteotomy,grade_1,left,0.492,0.767,,,,Grade 1,0.478,0.767,0.492,0.76,0.475,0.793,0.781,0.46,0.766,0.48,0.769
T1,,osteotomy,grade_1,left,0.493,0.746,,,,Grade 1,0.481,0.746,0.493,0.738,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T2,,osteotomy,grade_1,left,0.494,0.72,,,,Grade 1,0.481,0.72,0.494,0.714,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T3,,osteotomy,grade_1,left,0.494,0.695,,,,Grade 1,0.481,0.695,0.494,0.689,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T4,,osteotomy,grade_1,left,0.493,0.668,,,,Grade 1,0.481,0.668,0.493,0.658,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T5,,osteotomy,grade_1,left,0.492,0.64,,,,Grade 1,0.481,0.64,0.492,0.628,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T6,,osteotomy,grade_1,left,0.492,0.606,,,,Grade 1,0.48,0.606,0.492,0.595,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T7,,osteotomy,grade_1,left,0.491,0.577,,,,Grade 1,0.479,0.577,0.491,0.566,0.48,0.613,0.592,0.46,0.568,0.48,0.583
T8,,osteotomy,grade_1,left,0.492,0.544,,,,Grade 1,0.476,0.544,0.492,0.529,0.48,0.583,0.564,0.46,0.532,0.48,0.551
T9,,osteotomy,grade_1,left,0.49,0.508,,,,Grade 1,0.477,0.508,0.49,0.498,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T10,,osteotomy,grade_1,left,0.492,0.476,,,,Grade 1,0.478,0.476,0.492,0.465,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T11,,osteotomy,grade_1,left,0.491,0.438,,,,Grade 1,0.478,0.438,0.491,0.425,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T12,,osteotomy,grade_1,left,0.492,0.4,,,,Grade 1,0.483,0.4,0.492,0.385,0.484,0.447,0.427,0.47,0.393,0.484,0.411
L1,,osteotomy,grade_1,left,0.491,0.367,,,,Grade 1,0.483,0.367,0.491,0.352,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L2,,osteotomy,grade_1,left,0.489,0.33,,,,Grade 1,0.478,0.33,0.489,0.314,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L3,,osteotomy,grade_1,left,0.486,0.291,,,,Grade 1,0.474,0.291,0.486,0.278,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L4,,osteotomy,grade_1,left,0.487,0.252,,,,Grade 1,0.476,0.252,0.487,0.241,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L5,,osteotomy,grade_1,left,0.48,0.224,,,,Grade 1,0.469,0.224,0.48,0.209,0.478,0.261,0.238,0.44,0.213,0.475,0.228
C7,,osteotomy,grade_1,right,0.508,0.767,,,,Grade 1,0.522,0.767,0.508,0.76,0.475,0.793,0.781,0.46,0.766,0.48,0.769
T1,,osteotomy,grade_1,right,0.507,0.746,,,,Grade 1,0.519,0.746,0.507,0.738,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T2,,osteotomy,grade_1,right,0.506,0.72,,,,Grade 1,0.519,0.72,0.506,0.714,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T3,,osteotomy,grade_1,right,0.506,0.695,,,,Grade 1,0.519,0.695,0.506,0.689,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T4,,osteotomy,grade_1,right,0.507,0.668,,,,Grade 1,0.519,0.668,0.507,0.658,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T5,,osteotomy,grade_1,right,0.508,0.64,,,,Grade 1,0.519,0.64,0.508,0.628,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T6,,osteotomy,grade_1,right,0.508,0.606,,,,Grade 1,0.52,0.606,0.508,0.595,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T7,,osteotomy,grade_1,right,0.509,0.577,,,,Grade 1,0.521,0.577,0.509,0.566,0.48,0.613,0.592,0.46,0.568,0.48,0.583
T8,,osteotomy,grade_1,right,0.508,0.544,,,,Grade 1,0.524,0.544,0.508,0.529,0.48,0.583,0.564,0.46,0.532,0.48,0.551
T9,,osteotomy,grade_1,right,0.51,0.508,,,,Grade 1,0.523,0.508,0.51,0.498,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T10,,osteotomy,grade_1,right,0.508,0.476,,,,Grade 1,0.522,0.476,0.508,0.465,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T11,,osteotomy,grade_1,right,0.509,0.438,,,,Grade 1,0.522,0.438,0.509,0.425,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T12,,osteotomy,grade_1,right,0.508,0.4,,,,Grade 1,0.517,0.4,0.508,0.385,0.484,0.447,0.427,0.47,0.393,0.484,0.411
L1,,osteotomy,grade_1,right,0.509,0.367,,,,Grade 1,0.517,0.367,0.509,0.352,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L2,,osteotomy,grade_1,right,0.511,0.33,,,,Grade 1,0.522,0.33,0.511,0.314,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L3,,osteotomy,grade_1,right,0.514,0.291,,,,Grade 1,0.526,0.291,0.514,0.278,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L4,,osteotomy,grade_1,right,0.513,0.252,,,,Grade 1,0.524,0.252,0.513,0.241,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L5,,osteotomy,grade_1,right,0.52,0.224,,,,Grade 1,0.531,0.224,0.52,0.209,0.478,0.261,0.238,0.44,0.213,0.475,0.228
C2,,osteotomy,grade_2,left,0.5,0.858,,,,Grade 2,0.473,0.863,0.49,0.853,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C3,,osteotomy,grade_2,left,0.5,0.839,,,,Grade 2,0.473,0.844,0.49,0.834,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C4,,osteotomy,grade_2,left,0.5,0.821,,,,Grade 2,0.473,0.826,0.49,0.816,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C5,,osteotomy,grade_2,left,0.5,0.802,,,,Grade 2,0.473,0.807,0.49,0.797,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C6,,osteotomy,grade_2,left,0.5,0.786,,,,Grade 2,0.473,0.792,0.49,0.78,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C7,,osteotomy,grade_2,left,0.5,0.767,,,,Grade 2,0.478,0.767,0.492,0.76,0.475,0.793,0.781,0.46,0.766,0.48,0.769
T1,,osteotomy,grade_2,left,0.5,0.746,,,,Grade 2,0.481,0.746,0.493,0.738,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T2,,osteotomy,grade_2,left,0.5,0.72,,,,Grade 2,0.481,0.72,0.494,0.714,0.48,0.747,0.732,0.46,0.716,0.48,0.723
T3,,osteotomy,grade_2,left,0.5,0.695,,,,Grade 2,0.481,0.695,0.494,0.689,0.48,0.723,0.71,0.46,0.688,0.48,0.701
T4,,osteotomy,grade_2,left,0.5,0.668,,,,Grade 2,0.481,0.668,0.493,0.658,0.48,0.701,0.684,0.46,0.66,0.48,0.672
T5,,osteotomy,grade_2,left,0.5,0.64,,,,Grade 2,0.481,0.64,0.492,0.628,0.48,0.672,0.657,0.46,0.628,0.48,0.643
T6,,osteotomy,grade_2,left,0.5,0.606,,,,Grade 2,0.48,0.606,0.492,0.595,0.48,0.643,0.625,0.46,0.596,0.48,0.613
T7,,osteotomy,grade_2,left,0.5,0.577,,,,Grade 2,0.479,0.577,0.491,0.566,0.48,0.613,0.592,0.46,0.568,0.48,0.583
T8,,osteotomy,grade_2,left,0.5,0.544,,,,Grade 2,0.476,0.544,0.492,0.529,0.48,0.583,0.564,0.46,0.532,0.48,0.551
T9,,osteotomy,grade_2,left,0.5,0.508,,,,Grade 2,0.477,0.508,0.49,0.498,0.48,0.551,0.528,0.46,0.501,0.48,0.52
T10,,osteotomy,grade_2,left,0.5,0.476,,,,Grade 2,0.478,0.476,0.492,0.465,0.48,0.52,0.494,0.467,0.467,0.482,0.481
T11,,osteotomy,grade_2,left,0.5,0.438,,,,Grade 2,0.478,0.438,0.491,0.425,0.482,0.481,0.46,0.47,0.428,0.484,0.447
T12,,osteotomy,grade_2,left,0.5,0.4,,,,Grade 2,0.483,0.4,0.492,0.385,0.484,0.447,0.427,0.47,0.393,0.484,0.411
L1,,osteotomy,grade_2,left,0.5,0.367,,,,Grade 2,0.483,0.367,0.491,0.352,0.484,0.411,0.389,0.46,0.355,0.484,0.375
L2,,osteotomy,grade_2,left,0.5,0.33,,,,Grade 2,0.478,0.33,0.489,0.314,0.484,0.375,0.353,0.45,0.32,0.482,0.343
L3,,osteotomy,grade_2,left,0.5,0.291,,,,Grade 2,0.474,0.291,0.486,0.278,0.482,0.343,0.318,0.445,0.284,0.48,0.301
L4,,osteotomy,grade_2,left,0.5,0.252,,,,Grade 2,0.476,0.252,0.487,0.241,0.48,0.301,0.276,0.44,0.248,0.478,0.261
L5,,osteotomy,grade_2,left,0.5,0.224,,,,Grade 2,0.469,0.224,0.48,0.209,0.478,0.261,0.238,0.44,0.213,0.475,0.228
C2,,osteotomy,grade_3,left,0.5,0.87,,,,Grade 3,0.46,0.87,0.494,0.853,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C3,,osteotomy,grade_3,left,0.5,0.85,,,,Grade 3,0.47,0.866,0.494,0.834,0.475,0.865,0.853,0.47,0.842,0.475,0.847
C4,,osteotomy,grade_3,left,0.5,0.83,,,,Grade 3,0.47,0.848,0.494,0.816,0.475,0.847,0.834,0.47,0.824,0.475,0.828
C5,,osteotomy,grade_3,left,0.5,0.81,,,,Grade 3,0.47,0.831,0.494,0.797,0.475,0.828,0.816,0.47,0.805,0.475,0.811
C6,,osteotomy,grade_3,left,0.5,0.79,,,,Grade 3,0.47,0.813,0.494,0.78,0.475,0.811,0.798,0.47,0.788,0.475,0.793
C7,,osteotomy,grade_3,left,0.5,0.77,,,,Grade 3,0.46,0.785,0.494,0.76,0.475,0.793,0.781,0.46,0.766,0.48,0.769
T1,,osteotomy,grade_3,left,0.5,0.75,,,,Grade 3,0.46,0.77,0.48,0.738,0.48,0.769,0.756,0.46,0.739,0.48,0.747
T2,,osteotomy,grade_3,left,0.5,0.72,,,,Grade 3,0.46,0.75,0.48,0.714,0.48,0.747,0.732,0.46,0.716,0.48,0.723
