level,vertebral_number,approach,category,object,side,x,y,length,width,angle,left_x,superior_y,right_x,inferior_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x,inferior_endplate_y,superior_endplate_y,superior_enplate_inferior_body_y,inferior_endplate_superior_body_y
T6-T7,13.5,posterior,decompression,diskectomy,left,0.491,0.593,,0.006,,0.488,0.595,0.494,0.591,,,,,,,,,,,,,,,,,,
T7-T8,14.5,posterior,decompression,diskectomy,left,0.491,0.5635,,0.006,,0.488,0.566,0.494,0.561,,,,,,,,,,,,,,,,,,
T8-T9,15.5,posterior,decompression,diskectomy,left,0.491,0.529,,0.006,,0.488,0.53,0.494,0.528,,,,,,,,,,,,,,,,,,
T9-T10,16.5,posterior,decompression,diskectomy,left,0.491,0.497,,0.006,,0.488,0.498,0.494,0.496,,,,,,,,,,,,,,,,,,
T10-T11,17.5,posterior,decompression,diskectomy,left,0.491,0.464,,0.006,,0.488,0.465,0.494,0.463,,,,,,,,,,,,,,,,,,
T11-T12,18.5,posterior,decompression,diskectomy,left,0.491,0.425,,0.006,,0.488,0.425,0.494,0.425,,,,,,,,,,,,,,,,,,
T12-L1,19.5,posterior,decompression,diskectomy,left,0.491,0.3845,,0.006,,0.488,0.386,0.494,0.383,,,,,,,,,,,,,,,,,,
L1-L2,20.5,posterior,decompression,diskectomy,left,0.491,0.3505,,0.006,,0.488,0.352,0.494,0.349,,,,,,,,,,,,,,,,,,
L2-L3,21.5,posterior,decompression,diskectomy,left,0.491,0.316,,0.006,,0.488,0.317,0.494,0.315,,,,,,,,,,,,,,,,,,
L3-L4,22.5,posterior,decompression,diskectomy,left,0.491,0.279,,0.006,,0.488,0.284,0.494,0.274,,,,,,,,,,,,,,,,,,
L4-L5,23.5,posterior,decompression,diskectomy,left,0.4895,0.2425,,0.009,,0.485,0.247,0.494,0.238,,,,,,,,,,,,,,,,,,
L5-S1,24.5,posterior,decompression,diskectomy,left,0.487,0.206,,0.014,,0.48,0.214,0.494,0.198,,,,,,,,,,,,,,,,,,
C2-C3,2.5,posterior,decompression,diskectomy,right,0.509,0.857,,0.006,,0.506,0.861,0.512,0.853,,,,,,,,,,,,,,,,,,
C3-C4,3.5,posterior,decompression,diskectomy,right,0.509,0.8385,,0.006,,0.506,0.842,0.512,0.835,,,,,,,,,,,,,,,,,,
C4-C5,4.5,posterior,decompression,diskectomy,right,0.509,0.819,,0.006,,0.506,0.822,0.512,0.816,,,,,,,,,,,,,,,,,,
C5-C6,5.5,posterior,decompression,diskectomy,right,0.509,0.8005,,0.006,,0.506,0.804,0.512,0.797,,,,,,,,,,,,,,,,,,
C6-C7,6.5,posterior,decompression,diskectomy,right,0.509,0.7825,,0.006,,0.506,0.786,0.512,0.779,,,,,,,,,,,,,,,,,,
C7-T1,7.5,posterior,decompression,diskectomy,right,0.509,0.7595,,0.006,,0.506,0.763,0.512,0.756,,,,,,,,,,,,,,,,,,
T1-T2,8.5,posterior,decompression,diskectomy,right,0.509,0.7345,,0.006,,0.506,0.737,0.512,0.732,,,,,,,,,,,,,,,,,,
T2-T3,9.5,posterior,decompression,diskectomy,right,0.509,0.7115,,0.006,,0.506,0.713,0.512,0.71,,,,,,,,,,,,,,,,,,
T3-T4,10.5,posterior,decompression,diskectomy,right,0.509,0.6845,,0.006,,0.506,0.687,0.512,0.682,,,,,,,,,,,,,,,,,,
T4-T5,11.5,posterior,decompression,diskectomy,right,0.509,0.6575,,0.006,,0.506,0.658,0.512,0.657,,,,,,,,,,,,,,,,,,
T5-T6,12.5,posterior,decompression,diskectomy,right,0.509,0.6265,,0.006,,0.506,0.629,0.512,0.624,,,,,,,,,,,,,,,,,,
T6-T7,13.5,posterior,decompression,diskectomy,right,0.509,0.593,,0.006,,0.506,0.595,0.512,0.591,,,,,,,,,,,,,,,,,,
T7-T8,14.5,posterior,decompression,diskectomy,right,0.509,0.5635,,0.006,,0.506,0.566,0.512,0.561,,,,,,,,,,,,,,,,,,
T8-T9,15.5,posterior,decompression,diskectomy,right,0.509,0.529,,0.006,,0.506,0.53,0.512,0.528,,,,,,,,,,,,,,,,,,
T9-T10,16.5,posterior,decompression,diskectomy,right,0.509,0.497,,0.006,,0.506,0.498,0.512,0.496,,,,,,,,,,,,,,,,,,
T10-T11,17.5,posterior,decompression,diskectomy,right,0.509,0.464,,0.006,,0.506,0.465,0.512,0.463,,,,,,,,,,,,,,,,,,
T11-T12,18.5,posterior,decompression,diskectomy,right,0.509,0.425,,0.006,,0.506,0.425,0.512,0.425,,,,,,,,,,,,,,,,,,
T12-L1,19.5,posterior,decompression,diskectomy,right,0.509,0.3845,,0.006,,0.506,0.386,0.512,0.383,,,,,,,,,,,,,,,,,,
L1-L2,20.5,posterior,decompression,diskectomy,right,0.509,0.3505,,0.006,,0.506,0.352,0.512,0.349,,,,,,,,,,,,,,,,,,
L2-L3,21.5,posterior,decompression,diskectomy,right,0.509,0.316,,0.006,,0.506,0.317,0.512,0.315,,,,,,,,,,,,,,,,,,
L3-L4,22.5,posterior,decompression,diskectomy,right,0.509,0.279,,0.006,,0.506,0.284,0.512,0.274,,,,,,,,,,,,,,,,,,
L4-L5,23.5,posterior,decompression,diskectomy,right,0.5105,0.2425,,0.009,,0.506,0.247,0.515,0.238,,,,,,,,,,,,,,,,,,
L5-S1,24.5,posterior,decompression,diskectomy,right,0.513,0.206,,0.014,,0.506,0.214,0.52,0.198,,,,,,,,,,,,,,,,,,
C2-C3,2.5,posterior,decompression,foraminotomy,left,0.491,0.857,,0.008,,0.484,0.863,0.492,0.853,,,,,,,,,,,,,,,,,,
C3-C4,3.5,posterior,decompression,foraminotomy,left,0.491,0.8385,,0.008,,0.484,0.845,0.492,0.835,,,,,,,,,,,,,,,,,,
C4-C5,4.5,posterior,decompression,foraminotomy,left,0.491,0.819,,0.008,,0.484,0.826,0.492,0.816,,,,,,,,,,,,,,,,,,
C5-C6,5.5,posterior,decompression,foraminotomy,left,0.491,0.8005,,0.008,,0.484,0.807,0.492,0.797,,,,,,,,,,,,,,,,,,
C6-C7,6.5,posterior,decompression,foraminotomy,left,0.491,0.7825,,0.008,,0.484,0.789,0.492,0.779,,,,,,,,,,,,,,,,,,
C7-T1,7.5,posterior,decompression,foraminotomy,left,0.491,0.7595,,0.008,,0.484,0.766,0.492,0.756,,,,,,,,,,,,,,,,,,
T1-T2,8.5,posterior,decompression,foraminotomy,left,0.491,0.7345,,0.008,,0.484,0.742,0.492,0.732,,,,,,,,,,,,,,,,,,
T2-T3,9.5,posterior,decompression,foraminotomy,left,0.491,0.7115,,0.006,,0.488,0.72,0.494,0.705,,,,,,,,,,,,,,,,,,
T3-T4,10.5,posterior,decompression,foraminotomy,left,0.491,0.6845,,0.006,,0.488,0.692,0.494,0.677,,,,,,,,,,,,,,,,,,
T4-T5,11.5,posterior,decompression,foraminotomy,left,0.491,0.6575,,0.006,,0.488,0.667,0.494,0.647,,,,,,,,,,,,,,,,,,
T5-T6,12.5,posterior,decompression,foraminotomy,left,0.491,0.6265,,0.006,,0.488,0.634,0.494,0.614,,,,,,,,,,,,,,,,,,
T6-T7,13.5,posterior,decompression,foraminotomy,left,0.491,0.593,,0.006,,0.488,0.601,0.494,0.581,,,,,,,,,,,,,,,,,,
T7-T8,14.5,posterior,decompression,foraminotomy,left,0.491,0.5635,,0.006,,0.488,0.571,0.494,0.551,,,,,,,,,,,,,,,,,,
T8-T9,15.5,posterior,decompression,foraminotomy,left,0.491,0.529,,0.006,,0.488,0.538,0.494,0.518,,,,,,,,,,,,,,,,,,
T9-T10,16.5,posterior,decompression,foraminotomy,left,0.491,0.497,,0.006,,0.488,0.506,0.494,0.486,,,,,,,,,,,,,,,,,,
T10-T11,17.5,posterior,decompression,foraminotomy,left,0.491,0.464,,0.006,,0.488,0.473,0.494,0.453,,,,,,,,,,,,,,,,,,
T11-T12,18.5,posterior,decompression,foraminotomy,left,0.491,0.425,,0.006,,0.488,0.435,0.494,0.415,,,,,,,,,,,,,,,,,,
T12-L1,19.5,posterior,decompression,foraminotomy,left,0.491,0.3845,,0.006,,0.488,0.393,0.494,0.373,,,,,,,,,,,,,,,,,,
L1-L2,20.5,posterior,decompression,foraminotomy,left,0.491,0.3505,,0.006,,0.488,0.359,0.494,0.339,,,,,,,,,,,,,,,,,,
L2-L3,21.5,posterior,decompression,foraminotomy,left,0.491,0.316,,0.006,,0.488,0.325,0.494,0.305,,,,,,,,,,,,,,,,,,
L3-L4,22.5,posterior,decompression,foraminotomy,left,0.491,0.279,,0.006,,0.488,0.284,0.494,0.264,,,,,,,,,,,,,,,,,,
L4-L5,23.5,posterior,decompression,foraminotomy,left,0.4895,0.2425,,0.009,,0.485,0.248,0.494,0.228,,,,,,,,,,,,,,,,,,
L5-S1,24.5,posterior,decompression,foraminotomy,left,0.487,0.206,,0.014,,0.48,0.208,0.494,0.188,,,,,,,,,,,,,,,,,,
C2-C3,2.5,posterior,decompression,foraminotomy,right,0.509,0.857,,0.008,,0.508,0.863,0.516,0.853,,,,,,,,,,,,,,,,,,
C3-C4,3.5,posterior,decompression,foraminotomy,right,0.509,0.8385,,0.008,,0.508,0.845,0.516,0.835,,,,,,,,,,,,,,,,,,
C4-C5,4.5,posterior,decompression,foraminotomy,right,0.509,0.819,,0.008,,0.508,0.826,0.516,0.816,,,,,,,,,,,,,,,,,,
C5-C6,5.5,posterior,decompression,foraminotomy,right,0.509,0.8005,,0.008,,0.508,0.807,0.516,0.797,,,,,,,,,,,,,,,,,,
C6-C7,6.5,posterior,decompression,foraminotomy,right,0.509,0.7825,,0.008,,0.508,0.789,0.516,0.779,,,,,,,,,,,,,,,,,,
C7-T1,7.5,posterior,decompression,foraminotomy,right,0.509,0.7595,,0.008,,0.508,0.766,0.516,0.756,,,,,,,,,,,,,,,,,,
T1-T2,8.5,posterior,decompression,foraminotomy,right,0.509,0.7345,,0.008,,0.508,0.742,0.516,0.732,,,,,,,,,,,,,,,,,,
T2-T3,9.5,posterior,decompression,foraminotomy,right,0.509,0.7115,,0.006,,0.506,0.72,0.512,0.705,,,,,,,,,,,,,,,,,,
T3-T4,10.5,posterior,decompression,foraminotomy,right,0.509,0.6845,,0.006,,0.506,0.692,0.512,0.677,,,,,,,,,,,,,,,,,,
T4-T5,11.5,posterior,decompression,foraminotomy,right,0.509,0.6575,,0.006,,0.506,0.667,0.512,0.647,,,,,,,,,,,,,,,,,,
T5-T6,12.5,posterior,decompression,foraminotomy,right,0.509,0.6265,,0.006,,0.506,0.634,0.512,0.614,,,,,,,,,,,,,,,,,,
T6-T7,13.5,posterior,decompression,foraminotomy,right,0.509,0.593,,0.006,,0.506,0.601,0.512,0.581,,,,,,,,,,,,,,,,,,
T7-T8,14.5,posterior,decompression,foraminotomy,right,0.509,0.5635,,0.006,,0.506,0.571,0.512,0.551,,,,,,,,,,,,,,,,,,
T8-T9,15.5,posterior,decompression,foraminotomy,right,0.509,0.529,,0.006,,0.506,0.538,0.512,0.518,,,,,,,,,,,,,,,,,,
T9-T10,16.5,posterior,decompression,foraminotomy,right,0.509,0.497,,0.006,,0.506,0.506,0.512,0.486,,,,,,,,,,,,,,,,,,
T10-T11,17.5,posterior,decompression,foraminotomy,right,0.509,0.464,,0.006,,0.506,0.473,0.512,0.453,,,,,,,,,,,,,,,,,,
T11-T12,18.5,posterior,decompression,foraminotomy,right,0.509,0.425,,0.006,,0.506,0.435,0.512,0.415,,,,,,,,,,,,,,,,,,
T12-L1,19.5,posterior,decompression,foraminotomy,right,0.509,0.3845,,0.006,,0.506,0.393,0.512,0.373,,,,,,,,,,,,,,,,,,
L1-L2,20.5,posterior,decompression,foraminotomy,right,0.509,0.3505,,0.006,,0.506,0.359,0.512,0.339,,,,,,,,,,,,,,,,,,
L2-L3,21.5,posterior,decompression,foraminotomy,right,0.509,0.316,,0.006,,0.506,0.325,0.512,0.305,,,,,,,,,,,,,,,,,,
L3-L4,22.5,posterior,decompression,foraminotomy,right,0.509,0.279,,0.006,,0.506,0.284,0.512,0.264,,,,,,,,,,,,,,,,,,
L4-L5,23.5,posterior,decompression,foraminotomy,right,0.5105,0.2425,,0.009,,0.506,0.248,0.515,0.228,,,,,,,,,,,,,,,,,,
L5-S1,24.5,posterior,decompression,foraminotomy,right,0.513,0.206,,0.014,,0.506,0.208,0.52,0.188,,,,,,,,,,,,,,,,,,
C1,1,posterior,decompression,hemilaminectomy,left,0.496,0.8785,,0.004,,0.494,0.889,0.498,0.873,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,decompression,hemilaminectomy,left,0.496,0.8585,,0.004,,0.494,0.873,0.498,0.853,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,decompression,hemilaminectomy,left,0.496,0.8405,,0.004,,0.494,0.853,0.498,0.835,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,decompression,hemilaminectomy,left,0.496,0.8215,,0.004,,0.494,0.835,0.498,0.816,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,decompression,hemilaminectomy,left,0.496,0.8025,,0.004,,0.494,0.816,0.498,0.797,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,decompression,hemilaminectomy,left,0.496,0.7915,,0.004,,0.494,0.797,0.498,0.786,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,decompression,hemilaminectomy,left,0.496,0.77,,0.004,,0.494,0.779,0.498,0.76,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,decompression,hemilaminectomy,left,0.496,0.749,,0.004,,0.494,0.756,0.498,0.738,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,decompression,hemilaminectomy,left,0.496,0.726,,0.004,,0.494,0.732,0.498,0.714,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,decompression,hemilaminectomy,left,0.496,0.7015,,0.004,,0.494,0.71,0.498,0.689,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,decompression,hemilaminectomy,left,0.496,0.6735,,0.004,,0.494,0.682,0.498,0.658,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,decompression,hemilaminectomy,left,0.496,0.643,,0.004,,0.494,0.657,0.498,0.628,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,decompression,hemilaminectomy,left,0.496,0.6115,,0.004,,0.494,0.624,0.498,0.595,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,decompression,hemilaminectomy,left,0.496,0.5805,,0.004,,0.494,0.591,0.498,0.566,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,decompression,hemilaminectomy,left,0.496,0.5475,,0.004,,0.494,0.561,0.498,0.529,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,decompression,hemilaminectomy,left,0.496,0.5135,,0.004,,0.494,0.528,0.498,0.498,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,decompression,hemilaminectomy,left,0.496,0.4815,,0.004,,0.494,0.496,0.498,0.465,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,decompression,hemilaminectomy,left,0.496,0.445,,0.004,,0.494,0.463,0.498,0.425,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,decompression,hemilaminectomy,left,0.496,0.405,,0.004,,0.494,0.425,0.498,0.385,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,decompression,hemilaminectomy,left,0.496,0.3685,,0.004,,0.494,0.383,0.498,0.352,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,decompression,hemilaminectomy,left,0.496,0.333,,0.004,,0.494,0.349,0.498,0.314,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,decompression,hemilaminectomy,left,0.495,0.296,,0.006,,0.492,0.315,0.498,0.278,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,decompression,hemilaminectomy,left,0.494,0.2595,,0.008,,0.49,0.274,0.498,0.241,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,decompression,hemilaminectomy,left,0.493,0.225,,0.01,,0.488,0.238,0.498,0.209,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,decompression,hemilaminectomy,right,0.504,0.8785,,0.004,,0.502,0.889,0.506,0.873,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,decompression,hemilaminectomy,right,0.504,0.8585,,0.004,,0.502,0.873,0.506,0.853,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,decompression,hemilaminectomy,right,0.504,0.8405,,0.004,,0.502,0.853,0.506,0.835,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,decompression,hemilaminectomy,right,0.504,0.8215,,0.004,,0.502,0.835,0.506,0.816,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,decompression,hemilaminectomy,right,0.504,0.8025,,0.004,,0.502,0.816,0.506,0.797,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,decompression,hemilaminectomy,right,0.504,0.7915,,0.004,,0.502,0.797,0.506,0.786,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,decompression,hemilaminectomy,right,0.504,0.77,,0.004,,0.502,0.779,0.506,0.76,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,decompression,hemilaminectomy,right,0.504,0.749,,0.004,,0.502,0.756,0.506,0.738,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,decompression,hemilaminectomy,right,0.504,0.726,,0.004,,0.502,0.732,0.506,0.714,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,decompression,hemilaminectomy,right,0.504,0.7015,,0.004,,0.502,0.71,0.506,0.689,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,decompression,hemilaminectomy,right,0.504,0.6735,,0.004,,0.502,0.682,0.506,0.658,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,decompression,hemilaminectomy,right,0.504,0.643,,0.004,,0.502,0.657,0.506,0.628,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,decompression,hemilaminectomy,right,0.504,0.6115,,0.004,,0.502,0.624,0.506,0.595,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,decompression,hemilaminectomy,right,0.504,0.5805,,0.004,,0.502,0.591,0.506,0.566,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,decompression,hemilaminectomy,right,0.504,0.5475,,0.004,,0.502,0.561,0.506,0.529,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,decompression,hemilaminectomy,right,0.504,0.5135,,0.004,,0.502,0.528,0.506,0.498,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,decompression,hemilaminectomy,right,0.504,0.4815,,0.004,,0.502,0.496,0.506,0.465,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,decompression,hemilaminectomy,right,0.504,0.445,,0.004,,0.502,0.463,0.506,0.425,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,decompression,hemilaminectomy,right,0.504,0.405,,0.004,,0.502,0.425,0.506,0.385,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,decompression,hemilaminectomy,right,0.504,0.3685,,0.004,,0.502,0.383,0.506,0.352,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,decompression,hemilaminectomy,right,0.504,0.333,,0.004,,0.502,0.349,0.506,0.314,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,decompression,hemilaminectomy,right,0.505,0.296,,0.006,,0.502,0.315,0.508,0.278,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,decompression,hemilaminectomy,right,0.506,0.2595,,0.008,,0.502,0.274,0.51,0.241,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,decompression,hemilaminectomy,right,0.507,0.225,,0.01,,0.502,0.238,0.512,0.209,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1,1,posterior,decompression,laminectomy,central,0.5,0.8785,,0.012,,0.494,0.889,0.506,0.873,,,,,,,,0.88,,,,,,,,,,
C2,2,posterior,decompression,laminectomy,central,0.5,0.8585,,0.012,,0.494,0.873,0.506,0.853,0.475,0.465,0.475,0.888,0.874,0.862,0.865,0.865,0.874,0.865,,,,,,,,
C3,3,posterior,decompression,laminectomy,central,0.5,0.8405,,0.012,,0.494,0.853,0.506,0.835,0.475,0.47,0.475,0.865,0.853,0.842,0.847,0.847,0.853,0.847,,,,,,,,
C4,4,posterior,decompression,laminectomy,central,0.5,0.8215,,0.012,,0.494,0.835,0.506,0.816,0.475,0.47,0.475,0.847,0.834,0.824,0.828,0.828,0.834,0.828,,,,,,,,
C5,5,posterior,decompression,laminectomy,central,0.5,0.8025,,0.012,,0.494,0.816,0.506,0.797,0.475,0.47,0.475,0.828,0.816,0.805,0.811,0.811,0.816,0.811,,,,,,,,
C6,6,posterior,decompression,laminectomy,central,0.5,0.7915,,0.012,,0.494,0.797,0.506,0.786,0.475,0.47,0.475,0.811,0.798,0.788,0.793,0.793,0.798,0.793,,,,,,,,
C7,7,posterior,decompression,laminectomy,central,0.5,0.77,,0.012,,0.494,0.779,0.506,0.76,0.475,0.46,0.48,0.793,0.781,0.766,0.769,0.769,0.781,0.769,,,,,,,,
T1,8,posterior,decompression,laminectomy,central,0.5,0.749,,0.012,,0.494,0.756,0.506,0.738,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,,,,,,,,
T2,9,posterior,decompression,laminectomy,central,0.5,0.726,,0.012,,0.494,0.732,0.506,0.714,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,,,,,,,,
T3,10,posterior,decompression,laminectomy,central,0.5,0.7015,,0.012,,0.494,0.71,0.506,0.689,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,,,,,,,,
T4,11,posterior,decompression,laminectomy,central,0.5,0.6735,,0.012,,0.494,0.682,0.506,0.658,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,,,,,,,,
T5,12,posterior,decompression,laminectomy,central,0.5,0.643,,0.012,,0.494,0.657,0.506,0.628,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,,,,,,,,
T6,13,posterior,decompression,laminectomy,central,0.5,0.6115,,0.012,,0.494,0.624,0.506,0.595,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,,,,,,,,
T7,14,posterior,decompression,laminectomy,central,0.5,0.5805,,0.012,,0.494,0.591,0.506,0.566,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,,,,,,,,
T8,15,posterior,decompression,laminectomy,central,0.5,0.5475,,0.012,,0.494,0.561,0.506,0.529,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,,,,,,,,
T9,16,posterior,decompression,laminectomy,central,0.5,0.5135,,0.012,,0.494,0.528,0.506,0.498,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,,,,,,,,
T10,17,posterior,decompression,laminectomy,central,0.5,0.4815,,0.012,,0.494,0.496,0.506,0.465,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,,,,,,,,
T11,18,posterior,decompression,laminectomy,central,0.5,0.445,,0.012,,0.494,0.463,0.506,0.425,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,,,,,,,,
T12,19,posterior,decompression,laminectomy,central,0.5,0.405,,0.012,,0.494,0.425,0.506,0.385,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,,,,,,,,
L1,20,posterior,decompression,laminectomy,central,0.5,0.3685,,0.012,,0.494,0.383,0.506,0.352,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,,,,,,,,
L2,21,posterior,decompression,laminectomy,central,0.5,0.333,,0.012,,0.494,0.349,0.506,0.314,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,,,,,,,,
L3,22,posterior,decompression,laminectomy,central,0.5,0.296,,0.016,,0.492,0.315,0.508,0.278,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,,,,,,,,
L4,23,posterior,decompression,laminectomy,central,0.5,0.2595,,0.02,,0.49,0.274,0.51,0.241,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,,,,,,,,
L5,24,posterior,decompression,laminectomy,central,0.5,0.225,,0.024,,0.488,0.238,0.512,0.209,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,,,,,,,,
C1-C2,1.5,posterior,decompression,sublaminar_decompression,central,0.5,0.8785,,0.0084,,0.494,0.8826,0.506,0.873,,,,,,,,,,,,,,,,,,
C2-C3,2.5,posterior,decompression,sublaminar_decompression,central,0.5,0.8585,,0.0084,,0.494,0.865,0.506,0.853,,,,,,,,,,,,,,,,,,
C3-C4,3.5,posterior,decompression,sublaminar_decompression,central,0.5,0.8405,,0.0084,,0.494,0.8458,0.506,0.835,,,,,,,,,,,,,,,,,,
C4-C5,4.5,posterior,decompression,sublaminar_decompression,central,0.5,0.8215,,0.0084,,0.494,0.8274,0.506,0.816,,,,,,,,,,,,,,,,,,
C5-C6,5.5,posterior,decompression,sublaminar_decompression,central,0.5,0.8025,,0.0084,,0.494,0.8084,0.506,0.797,,,,,,,,,,,,,,,,,,
