level,vertebral_number,category,implant,side,x,y,length,width,angle,grade,left_x,superior_y,right_x,inferior_y
l5,,osteotomy,grade_1,left,0.48,0.224,,,,Grade 1,0.469,0.224,0.48,0.209
c7,,osteotomy,grade_1,right,0.508,0.767,,,,Grade 1,0.522,0.767,0.508,0.76
t1,,osteotomy,grade_1,right,0.507,0.746,,,,Grade 1,0.519,0.746,0.507,0.738
t2,,osteotomy,grade_1,right,0.506,0.72,,,,Grade 1,0.519,0.72,0.506,0.714
t3,,osteotomy,grade_1,right,0.506,0.695,,,,Grade 1,0.519,0.695,0.506,0.689
t4,,osteotomy,grade_1,right,0.507,0.668,,,,Grade 1,0.519,0.668,0.507,0.658
t5,,osteotomy,grade_1,right,0.508,0.64,,,,Grade 1,0.519,0.64,0.508,0.628
t6,,osteotomy,grade_1,right,0.508,0.606,,,,Grade 1,0.52,0.606,0.508,0.595
t7,,osteotomy,grade_1,right,0.509,0.577,,,,Grade 1,0.521,0.577,0.509,0.566
t8,,osteotomy,grade_1,right,0.508,0.544,,,,Grade 1,0.524,0.544,0.508,0.529
t9,,osteotomy,grade_1,right,0.51,0.508,,,,Grade 1,0.523,0.508,0.51,0.498
t10,,osteotomy,grade_1,right,0.508,0.476,,,,Grade 1,0.522,0.476,0.508,0.465
t11,,osteotomy,grade_1,right,0.509,0.438,,,,Grade 1,0.522,0.438,0.509,0.425
t12,,osteotomy,grade_1,right,0.508,0.4,,,,Grade 1,0.517,0.4,0.508,0.385
l1,,osteotomy,grade_1,right,0.509,0.367,,,,Grade 1,0.517,0.367,0.509,0.352
l2,,osteotomy,grade_1,right,0.511,0.33,,,,Grade 1,0.522,0.33,0.511,0.314
l3,,osteotomy,grade_1,right,0.514,0.291,,,,Grade 1,0.526,0.291,0.514,0.278
l4,,osteotomy,grade_1,right,0.513,0.252,,,,Grade 1,0.524,0.252,0.513,0.241
l5,,osteotomy,grade_1,right,0.52,0.224,,,,Grade 1,0.531,0.224,0.52,0.209
c2,,osteotomy,grade_2,left,0.5,0.858,,,,Grade 2,0.473,0.863,0.49,0.853
c3,,osteotomy,grade_2,left,0.5,0.839,,,,Grade 2,0.473,0.844,0.49,0.834
c4,,osteotomy,grade_2,left,0.5,0.821,,,,Grade 2,0.473,0.826,0.49,0.816
c5,,osteotomy,grade_2,left,0.5,0.802,,,,Grade 2,0.473,0.807,0.49,0.797
c6,,osteotomy,grade_2,left,0.5,0.786,,,,Grade 2,0.473,0.792,0.49,0.78
c7,,osteotomy,grade_2,left,0.5,0.767,,,,Grade 2,0.478,0.767,0.492,0.76
t1,,osteotomy,grade_2,left,0.5,0.746,,,,Grade 2,0.481,0.746,0.493,0.738
t2,,osteotomy,grade_2,left,0.5,0.72,,,,Grade 2,0.481,0.72,0.494,0.714
t3,,osteotomy,grade_2,left,0.5,0.695,,,,Grade 2,0.481,0.695,0.494,0.689
t4,,osteotomy,grade_2,left,0.5,0.668,,,,Grade 2,0.481,0.668,0.493,0.658
t5,,osteotomy,grade_2,left,0.5,0.64,,,,Grade 2,0.481,0.64,0.492,0.628
t6,,osteotomy,grade_2,left,0.5,0.606,,,,Grade 2,0.48,0.606,0.492,0.595
t7,,osteotomy,grade_2,left,0.5,0.577,,,,Grade 2,0.479,0.577,0.491,0.566
t8,,osteotomy,grade_2,left,0.5,0.544,,,,Grade 2,0.476,0.544,0.492,0.529
t9,,osteotomy,grade_2,left,0.5,0.508,,,,Grade 2,0.477,0.508,0.49,0.498
t10,,osteotomy,grade_2,left,0.5,0.476,,,,Grade 2,0.478,0.476,0.492,0.465
t11,,osteotomy,grade_2,left,0.5,0.438,,,,Grade 2,0.478,0.438,0.491,0.425
t12,,osteotomy,grade_2,left,0.5,0.4,,,,Grade 2,0.483,0.4,0.492,0.385
l1,,osteotomy,grade_2,left,0.5,0.367,,,,Grade 2,0.483,0.367,0.491,0.352
l2,,osteotomy,grade_2,left,0.5,0.33,,,,Grade 2,0.478,0.33,0.489,0.314
l3,,osteotomy,grade_2,left,0.5,0.291,,,,Grade 2,0.474,0.291,0.486,0.278
l4,,osteotomy,grade_2,left,0.5,0.252,,,,Grade 2,0.476,0.252,0.487,0.241
l5,,osteotomy,grade_2,left,0.5,0.224,,,,Grade 2,0.469,0.224,0.48,0.209
c2,,osteotomy,grade_3,left,0.5,0.87,,,,Grade 3,0.46,0.87,0.494,0.853
c3,,osteotomy,grade_3,left,0.5,0.85,,,,Grade 3,0.47,0.866,0.494,0.834
c4,,osteotomy,grade_3,left,0.5,0.83,,,,Grade 3,0.47,0.848,0.494,0.816
c5,,osteotomy,grade_3,left,0.5,0.81,,,,Grade 3,0.47,0.831,0.494,0.797
c6,,osteotomy,grade_3,left,0.5,0.79,,,,Grade 3,0.47,0.813,0.494,0.78
c7,,osteotomy,grade_3,left,0.5,0.77,,,,Grade 3,0.46,0.785,0.494,0.76
t1,,osteotomy,grade_3,left,0.5,0.75,,,,Grade 3,0.46,0.77,0.48,0.738
t2,,osteotomy,grade_3,left,0.5,0.72,,,,Grade 3,0.46,0.75,0.48,0.714
t3,,osteotomy,grade_3,left,0.5,0.7,,,,Grade 3,0.46,0.72,0.48,0.689
t4,,osteotomy,grade_3,left,0.5,0.67,,,,Grade 3,0.46,0.7,0.48,0.658
t5,,osteotomy,grade_3,left,0.5,0.64,,,,Grade 3,0.46,0.67,0.48,0.628
t6,,osteotomy,grade_3,left,0.5,0.61,,,,Grade 3,0.46,0.64,0.48,0.595
t7,,osteotomy,grade_3,left,0.5,0.58,,,,Grade 3,0.46,0.61,0.48,0.566
t8,,osteotomy,grade_3,left,0.5,0.55,,,,Grade 3,0.46,0.58,0.48,0.529
t9,,osteotomy,grade_3,left,0.5,0.51,,,,Grade 3,0.46,0.55,0.48,0.498
t10,,osteotomy,grade_3,left,0.5,0.48,,,,Grade 3,0.466,0.52,0.48,0.465
t11,,osteotomy,grade_3,left,0.5,0.44,,,,Grade 3,0.468,0.48,0.48,0.425
t12,,osteotomy,grade_3,left,0.5,0.41,,,,Grade 3,0.47,0.45,0.48,0.385
l1,,osteotomy,grade_3,left,0.5,0.37,,,,Grade 3,0.46,0.41,0.48,0.352
l2,,osteotomy,grade_3,left,0.5,0.34,,,,Grade 3,0.45,0.38,0.48,0.314
l3,,osteotomy,grade_3,left,0.5,0.3,,,,Grade 3,0.445,0.34,0.48,0.278
l4,,osteotomy,grade_3,left,0.5,0.27,,,,Grade 3,0.445,0.3,0.49,0.241
l5,,osteotomy,grade_3,left,0.5,0.23,,,,Grade 3,0.445,0.26,0.488,0.209
c2,,osteotomy,grade_4,left,0.5,0.87,,,,Grade 4,0.46,0.87,0.494,0.853
c3,,osteotomy,grade_4,left,0.5,0.85,,,,Grade 4,0.47,0.866,0.494,0.834
c4,,osteotomy,grade_4,left,0.5,0.83,,,,Grade 4,0.47,0.848,0.494,0.816
c5,,osteotomy,grade_4,left,0.5,0.81,,,,Grade 4,0.47,0.831,0.494,0.797
c6,,osteotomy,grade_4,left,0.5,0.79,,,,Grade 4,0.47,0.813,0.494,0.78
c7,,osteotomy,grade_4,left,0.5,0.7825,,,,Grade 4,0.478,0.79,0.492,0.775
t1,,osteotomy,grade_4,left,0.5,0.7525,,,,Grade 4,0.481,0.76,0.493,0.745
t2,,osteotomy,grade_4,left,0.5,0.7305,,,,Grade 4,0.481,0.738,0.494,0.723
t3,,osteotomy,grade_4,left,0.5,0.7065,,,,Grade 4,0.481,0.714,0.494,0.699
t4,,osteotomy,grade_4,left,0.5,0.6815,,,,Grade 4,0.48,0.689,0.493,0.674
t5,,osteotomy,grade_4,left,0.5,0.6505,,,,Grade 4,0.48,0.658,0.492,0.643
t6,,osteotomy,grade_4,left,0.5,0.6205,,,,Grade 4,0.48,0.628,0.492,0.613
t7,,osteotomy,grade_4,left,0.5,0.5875,,,,Grade 4,0.48,0.595,0.491,0.58
t8,,osteotomy,grade_4,left,0.5,0.5585,,,,Grade 4,0.48,0.566,0.492,0.551
t9,,osteotomy,grade_4,left,0.5,0.5215,,,,Grade 4,0.48,0.529,0.49,0.514
t10,,osteotomy,grade_4,left,0.5,0.4905,,,,Grade 4,0.48,0.498,0.492,0.483
t11,,osteotomy,grade_4,left,0.5,0.4575,,,,Grade 4,0.48,0.465,0.491,0.45
t12,,osteotomy,grade_4,left,0.5,0.42,,,,Grade 4,0.48,0.43,0.492,0.41
l1,,osteotomy,grade_4,left,0.5,0.3775,,,,Grade 4,0.48,0.39,0.491,0.365
l2,,osteotomy,grade_4,left,0.5,0.346,,,,Grade 4,0.476,0.36,0.489,0.332
l3,,osteotomy,grade_4,left,0.5,0.307,,,,Grade 4,0.472,0.32,0.486,0.294
l4,,osteotomy,grade_4,left,0.5,0.269,,,,Grade 4,0.468,0.28,0.487,0.258
l5,,osteotomy,grade_4,left,0.5,0.231,,,,Grade 4,0.466,0.241,0.48,0.221
c2,,osteotomy,grade_5,left,0.5,0.87,,,,Grade 5,0.46,0.87,0.494,0.853
c3,,osteotomy,grade_5,left,0.5,0.85,,,,Grade 5,0.47,0.866,0.494,0.834
c4,,osteotomy,grade_5,left,0.5,0.83,,,,Grade 5,0.47,0.848,0.494,0.816
c5,,osteotomy,grade_5,left,0.5,0.81,,,,Grade 5,0.47,0.831,0.494,0.797
c6,,osteotomy,grade_5,left,0.5,0.79,,,,Grade 5,0.47,0.813,0.494,0.78
c7,,osteotomy,grade_5,left,0.5,0.7825,,,,Grade 5,0.478,0.79,0.492,0.775
t1,,osteotomy,grade_5,left,0.5,0.7525,,,,Grade 5,0.481,0.76,0.493,0.745
t2,,osteotomy,grade_5,left,0.5,0.7305,,,,Grade 5,0.481,0.738,0.494,0.723
t3,,osteotomy,grade_5,left,0.5,0.7065,,,,Grade 5,0.481,0.714,0.494,0.699
t4,,osteotomy,grade_5,left,0.5,0.6815,,,,Grade 5,0.48,0.689,0.493,0.674
t5,,osteotomy,grade_5,left,0.5,0.6505,,,,Grade 5,0.48,0.658,0.492,0.643
t6,,osteotomy,grade_5,left,0.5,0.6205,,,,Grade 5,0.48,0.628,0.492,0.613
t7,,osteotomy,grade_5,left,0.5,0.5875,,,,Grade 5,0.48,0.595,0.491,0.58
t8,,osteotomy,grade_5,left,0.5,0.5585,,,,Grade 5,0.48,0.566,0.492,0.551
t9,,osteotomy,grade_5,left,0.5,0.5215,,,,Grade 5,0.48,0.529,0.49,0.514
t10,,osteotomy,grade_5,left,0.5,0.4905,,,,Grade 5,0.48,0.498,0.492,0.483
t11,,osteotomy,grade_5,left,0.5,0.4575,,,,Grade 5,0.48,0.465,0.491,0.45
t12,,osteotomy,grade_5,left,0.5,0.42,,,,Grade 5,0.48,0.43,0.492,0.41
l1,,osteotomy,grade_5,left,0.5,0.3775,,,,Grade 5,0.48,0.39,0.491,0.365
l2,,osteotomy,grade_5,left,0.5,0.346,,,,Grade 5,0.476,0.36,0.489,0.332
l3,,osteotomy,grade_5,left,0.5,0.307,,,,Grade 5,0.472,0.32,0.486,0.294
l4,,osteotomy,grade_5,left,0.5,0.269,,,,Grade 5,0.468,0.28,0.487,0.258
l5,,osteotomy,grade_5,left,0.5,0.231,,,,Grade 5,0.466,0.241,0.48,0.221
c1,,decompression,laminectomy,central,0.5,0.8785,,0.012,,,0.494,0.889,0.506,0.873
c2,,decompression,laminectomy,central,0.5,0.8585,,0.012,,,0.494,0.873,0.506,0.853
c3,,decompression,laminectomy,central,0.5,0.8405,,0.012,,,0.494,0.853,0.506,0.835
c4,,decompression,laminectomy,central,0.5,0.8215,,0.012,,,0.494,0.835,0.506,0.816
c5,,decompression,laminectomy,central,0.5,0.8025,,0.012,,,0.494,0.816,0.506,0.797
c6,,decompression,laminectomy,central,0.5,0.7915,,0.012,,,0.494,0.797,0.506,0.786
c7,,decompression,laminectomy,central,0.5,0.77,,0.012,,,0.494,0.779,0.506,0.76
t1,,decompression,laminectomy,central,0.5,0.749,,0.012,,,0.494,0.756,0.506,0.738
t2,,decompression,laminectomy,central,0.5,0.726,,0.012,,,0.494,0.732,0.506,0.714
t3,,decompression,laminectomy,central,0.5,0.7015,,0.012,,,0.494,0.71,0.506,0.689
t4,,decompression,laminectomy,central,0.5,0.6735,,0.012,,,0.494,0.682,0.506,0.658
t5,,decompression,laminectomy,central,0.5,0.643,,0.012,,,0.494,0.657,0.506,0.628
t6,,decompression,laminectomy,central,0.5,0.6115,,0.012,,,0.494,0.624,0.506,0.595
t7,,decompression,laminectomy,central,0.5,0.5805,,0.012,,,0.494,0.591,0.506,0.566
t8,,decompression,laminectomy,central,0.5,0.5475,,0.012,,,0.494,0.561,0.506,0.529
t9,,decompression,laminectomy,central,0.5,0.5135,,0.012,,,0.494,0.528,0.506,0.498
t10,,decompression,laminectomy,central,0.5,0.4815,,0.012,,,0.494,0.496,0.506,0.465
t11,,decompression,laminectomy,central,0.5,0.445,,0.012,,,0.494,0.463,0.506,0.425
t12,,decompression,laminectomy,central,0.5,0.405,,0.012,,,0.494,0.425,0.506,0.385
l1,,decompression,laminectomy,central,0.5,0.3685,,0.012,,,0.494,0.383,0.506,0.352
l2,,decompression,laminectomy,central,0.5,0.333,,0.012,,,0.494,0.349,0.506,0.314
l3,,decompression,laminectomy,central,0.5,0.296,,0.016,,,0.492,0.315,0.508,0.278
l4,,decompression,laminectomy,central,0.5,0.2595,,0.02,,,0.49,0.274,0.51,0.241
l5,,decompression,laminectomy,central,0.5,0.225,,0.024,,,0.488,0.238,0.512,0.209
c1,,decompression,hemilaminectomy,left,0.496,0.8785,,0.004,,,0.494,0.889,0.498,0.873
c2,,decompression,hemilaminectomy,left,0.496,0.8585,,0.004,,,0.494,0.873,0.498,0.853
c3,,decompression,hemilaminectomy,left,0.496,0.8405,,0.004,,,0.494,0.853,0.498,0.835
c4,,decompression,hemilaminectomy,left,0.496,0.8215,,0.004,,,0.494,0.835,0.498,0.816
c5,,decompression,hemilaminectomy,left,0.496,0.8025,,0.004,,,0.494,0.816,0.498,0.797
c6,,decompression,hemilaminectomy,left,0.496,0.7915,,0.004,,,0.494,0.797,0.498,0.786
c7,,decompression,hemilaminectomy,left,0.496,0.77,,0.004,,,0.494,0.779,0.498,0.76
t1,,decompression,hemilaminectomy,left,0.496,0.749,,0.004,,,0.494,0.756,0.498,0.738
t2,,decompression,hemilaminectomy,left,0.496,0.726,,0.004,,,0.494,0.732,0.498,0.714
t3,,decompression,hemilaminectomy,left,0.496,0.7015,,0.004,,,0.494,0.71,0.498,0.689
t4,,decompression,hemilaminectomy,left,0.496,0.6735,,0.004,,,0.494,0.682,0.498,0.658
t5,,decompression,hemilaminectomy,left,0.496,0.643,,0.004,,,0.494,0.657,0.498,0.628
t6,,decompression,hemilaminectomy,left,0.496,0.6115,,0.004,,,0.494,0.624,0.498,0.595
t7,,decompression,hemilaminectomy,left,0.496,0.5805,,0.004,,,0.494,0.591,0.498,0.566
t8,,decompression,hemilaminectomy,left,0.496,0.5475,,0.004,,,0.494,0.561,0.498,0.529
t9,,decompression,hemilaminectomy,left,0.496,0.5135,,0.004,,,0.494,0.528,0.498,0.498
t10,,decompression,hemilaminectomy,left,0.496,0.4815,,0.004,,,0.494,0.496,0.498,0.465
t11,,decompression,hemilaminectomy,left,0.496,0.445,,0.004,,,0.494,0.463,0.498,0.425
t12,,decompression,hemilaminectomy,left,0.496,0.405,,0.004,,,0.494,0.425,0.498,0.385
l1,,decompression,hemilaminectomy,left,0.496,0.3685,,0.004,,,0.494,0.383,0.498,0.352
l2,,decompression,hemilaminectomy,left,0.496,0.333,,0.004,,,0.494,0.349,0.498,0.314
l3,,decompression,hemilaminectomy,left,0.495,0.296,,0.006,,,0.492,0.315,0.498,0.278
l4,,decompression,hemilaminectomy,left,0.494,0.2595,,0.008,,,0.49,0.274,0.498,0.241
l5,,decompression,hemilaminectomy,left,0.493,0.225,,0.01,,,0.488,0.238,0.498,0.209
c1,,decompression,hemilaminectomy,right,0.504,0.8785,,0.004,,,0.502,0.889,0.506,0.873
c2,,decompression,hemilaminectomy,right,0.504,0.8585,,0.004,,,0.502,0.873,0.506,0.853
c3,,decompression,hemilaminectomy,right,0.504,0.8405,,0.004,,,0.502,0.853,0.506,0.835
c4,,decompression,hemilaminectomy,right,0.504,0.8215,,0.004,,,0.502,0.835,0.506,0.816
c5,,decompression,hemilaminectomy,right,0.504,0.8025,,0.004,,,0.502,0.816,0.506,0.797
c6,,decompression,hemilaminectomy,right,0.504,0.7915,,0.004,,,0.502,0.797,0.506,0.786
c7,,decompression,hemilaminectomy,right,0.504,0.77,,0.004,,,0.502,0.779,0.506,0.76
t1,,decompression,hemilaminectomy,right,0.504,0.749,,0.004,,,0.502,0.756,0.506,0.738
t2,,decompression,hemilaminectomy,right,0.504,0.726,,0.004,,,0.502,0.732,0.506,0.714
t3,,decompression,hemilaminectomy,right,0.504,0.7015,,0.004,,,0.502,0.71,0.506,0.689
t4,,decompression,hemilaminectomy,right,0.504,0.6735,,0.004,,,0.502,0.682,0.506,0.658
t5,,decompression,hemilaminectomy,right,0.504,0.643,,0.004,,,0.502,0.657,0.506,0.628
t6,,decompression,hemilaminectomy,right,0.504,0.6115,,0.004,,,0.502,0.624,0.506,0.595
t7,,decompression,hemilaminectomy,right,0.504,0.5805,,0.004,,,0.502,0.591,0.506,0.566
t8,,decompression,hemilaminectomy,right,0.504,0.5475,,0.004,,,0.502,0.561,0.506,0.529
t9,,decompression,hemilaminectomy,right,0.504,0.5135,,0.004,,,0.502,0.528,0.506,0.498
t10,,decompression,hemilaminectomy,right,0.504,0.4815,,0.004,,,0.502,0.496,0.506,0.465
t11,,decompression,hemilaminectomy,right,0.504,0.445,,0.004,,,0.502,0.463,0.506,0.425
t12,,decompression,hemilaminectomy,right,0.504,0.405,,0.004,,,0.502,0.425,0.506,0.385
l1,,decompression,hemilaminectomy,right,0.504,0.3685,,0.004,,,0.502,0.383,0.506,0.352
l2,,decompression,hemilaminectomy,right,0.504,0.333,,0.004,,,0.502,0.349,0.506,0.314
l3,,decompression,hemilaminectomy,right,0.505,0.296,,0.006,,,0.502,0.315,0.508,0.278
l4,,decompression,hemilaminectomy,right,0.506,0.2595,,0.008,,,0.502,0.274,0.51,0.241
l5,,decompression,hemilaminectomy,right,0.507,0.225,,0.01,,,0.502,0.238,0.512,0.209
c1-c2,,decompression,sublaminar_decompression,central,0.5,0.8785,,0.0084,,,0.494,0.8826,0.506,0.873
c2-c3,,decompression,sublaminar_decompression,central,0.5,0.8585,,0.0084,,,0.494,0.865,0.506,0.853
c3-c4,,decompression,sublaminar_decompression,central,0.5,0.8405,,0.0084,,,0.494,0.8458,0.506,0.835
c4-c5,,decompression,sublaminar_decompression,central,0.5,0.8215,,0.0084,,,0.494,0.8274,0.506,0.816
c5-c6,,decompression,sublaminar_decompression,central,0.5,0.8025,,0.0084,,,0.494,0.8084,0.506,0.797
c6-c7,,decompression,sublaminar_decompression,central,0.5,0.7915,,0.0084,,,0.494,0.7898,0.506,0.779
c7-t1,,decompression,sublaminar_decompression,central,0.5,0.77,,0.0084,,,0.494,0.7698,0.506,0.756
t1-t2,,decompression,sublaminar_decompression,central,0.5,0.749,,0.0084,,,0.494,0.7464,0.506,0.732
t2-t3,,decompression,sublaminar_decompression,central,0.5,0.726,,0.0084,,,0.494,0.7232,0.506,0.71
t3-t4,,decompression,sublaminar_decompression,central,0.5,0.7015,,0.0084,,,0.494,0.6988,0.506,0.682
t4-t5,,decompression,sublaminar_decompression,central,0.5,0.6735,,0.0084,,,0.494,0.672,0.506,0.657
t5-t6,,decompression,sublaminar_decompression,central,0.5,0.643,,0.0084,,,0.494,0.6438,0.506,0.624
t6-t7,,decompression,sublaminar_decompression,central,0.5,0.6115,,0.0084,,,0.494,0.6108,0.506,0.591
t7-t8,,decompression,sublaminar_decompression,central,0.5,0.5805,,0.0084,,,0.494,0.579,0.506,0.561
t8-t9,,decompression,sublaminar_decompression,central,0.5,0.5475,,0.0084,,,0.494,0.5478,0.506,0.528
t9-t10,,decompression,sublaminar_decompression,central,0.5,0.5135,,0.0084,,,0.494,0.5152,0.506,0.496
t10-t11,,decompression,sublaminar_decompression,central,0.5,0.4815,,0.0084,,,0.494,0.4828,0.506,0.463
t11-t12,,decompression,sublaminar_decompression,central,0.5,0.445,,0.0084,,,0.494,0.4478,0.506,0.425
t12-l1,,decompression,sublaminar_decompression,central,0.5,0.405,,0.0084,,,0.494,0.4082,0.506,0.383
l1-l2,,decompression,sublaminar_decompression,central,0.5,0.3685,,0.0084,,,0.494,0.3694,0.506,0.349
l2-l3,,decompression,sublaminar_decompression,central,0.5,0.333,,0.0084,,,0.494,0.3354,0.506,0.315
l3-l4,,decompression,sublaminar_decompression,central,0.5,0.296,,0.0112,,,0.492,0.2986,0.508,0.274
l4-l5,,decompression,sublaminar_decompression,central,0.5,0.2595,,0.014,,,0.49,0.2596,0.51,0.238
l5-s1,,decompression,sublaminar_decompression,central,0.5,0.225,,0.0168,,,0.488,0.222,0.512,0.198
c1-c2,,decompression,foraminotomy,left,0.491,0.876,,0.008,,,0.484,0.883,0.492,0.873
c2-c3,,decompression,foraminotomy,left,0.491,0.857,,0.008,,,0.484,0.863,0.492,0.853
c3-c4,,decompression,foraminotomy,left,0.491,0.8385,,0.008,,,0.484,0.845,0.492,0.835
c4-c5,,decompression,foraminotomy,left,0.491,0.819,,0.008,,,0.484,0.826,0.492,0.816
c5-c6,,decompression,foraminotomy,left,0.491,0.8005,,0.008,,,0.484,0.807,0.492,0.797
c6-c7,,decompression,foraminotomy,left,0.491,0.7825,,0.008,,,0.484,0.789,0.492,0.779
c7-t1,,decompression,foraminotomy,left,0.491,0.7595,,0.008,,,0.484,0.766,0.492,0.756
t1-t2,,decompression,foraminotomy,left,0.491,0.7345,,0.008,,,0.484,0.742,0.492,0.732
t2-t3,,decompression,foraminotomy,left,0.491,0.7115,,0.006,,,0.488,0.72,0.494,0.705
t3-t4,,decompression,foraminotomy,left,0.491,0.6845,,0.006,,,0.488,0.692,0.494,0.677
t4-t5,,decompression,foraminotomy,left,0.491,0.6575,,0.006,,,0.488,0.667,0.494,0.647
t5-t6,,decompression,foraminotomy,left,0.491,0.6265,,0.006,,,0.488,0.634,0.494,0.614
t6-t7,,decompression,foraminotomy,left,0.491,0.593,,0.006,,,0.488,0.601,0.494,0.581
t7-t8,,decompression,foraminotomy,left,0.491,0.5635,,0.006,,,0.488,0.571,0.494,0.551
t8-t9,,decompression,foraminotomy,left,0.491,0.529,,0.006,,,0.488,0.538,0.494,0.518
t9-t10,,decompression,foraminotomy,left,0.491,0.497,,0.006,,,0.488,0.506,0.494,0.486
t10-t11,,decompression,foraminotomy,left,0.491,0.464,,0.006,,,0.488,0.473,0.494,0.453
t11-t12,,decompression,foraminotomy,left,0.491,0.425,,0.006,,,0.488,0.435,0.494,0.415
t12-l1,,decompression,foraminotomy,left,0.491,0.3845,,0.006,,,0.488,0.393,0.494,0.373
l1-l2,,decompression,foraminotomy,left,0.491,0.3505,,0.006,,,0.488,0.359,0.494,0.339
l2-l3,,decompression,foraminotomy,left,0.491,0.316,,0.006,,,0.488,0.325,0.494,0.305
l3-l4,,decompression,foraminotomy,left,0.491,0.279,,0.006,,,0.488,0.284,0.494,0.264
l4-l5,,decompression,foraminotomy,left,0.4895,0.2425,,0.009,,,0.485,0.248,0.494,0.228
l5-s1,,decompression,foraminotomy,left,0.487,0.206,,0.014,,,0.48,0.208,0.494,0.188
c1-c2,,decompression,foraminotomy,right,0.509,0.876,,0.008,,,0.508,0.883,0.516,0.873
c2-c3,,decompression,foraminotomy,right,0.509,0.857,,0.008,,,0.508,0.863,0.516,0.853
c3-c4,,decompression,foraminotomy,right,0.509,0.8385,,0.008,,,0.508,0.845,0.516,0.835
c4-c5,,decompression,foraminotomy,right,0.509,0.819,,0.008,,,0.508,0.826,0.516,0.816
c5-c6,,decompression,foraminotomy,right,0.509,0.8005,,0.008,,,0.508,0.807,0.516,0.797
c6-c7,,decompression,foraminotomy,right,0.509,0.7825,,0.008,,,0.508,0.789,0.516,0.779
c7-t1,,decompression,foraminotomy,right,0.509,0.7595,,0.008,,,0.508,0.766,0.516,0.756
t1-t2,,decompression,foraminotomy,right,0.509,0.7345,,0.008,,,0.508,0.742,0.516,0.732
t2-t3,,decompression,foraminotomy,right,0.509,0.7115,,0.006,,,0.506,0.72,0.512,0.705
t3-t4,,decompression,foraminotomy,right,0.509,0.6845,,0.006,,,0.506,0.692,0.512,0.677
t4-t5,,decompression,foraminotomy,right,0.509,0.6575,,0.006,,,0.506,0.667,0.512,0.647
t5-t6,,decompression,foraminotomy,right,0.509,0.6265,,0.006,,,0.506,0.634,0.512,0.614
t6-t7,,decompression,foraminotomy,right,0.509,0.593,,0.006,,,0.506,0.601,0.512,0.581
t7-t8,,decompression,foraminotomy,right,0.509,0.5635,,0.006,,,0.506,0.571,0.512,0.551
t8-t9,,decompression,foraminotomy,right,0.509,0.529,,0.006,,,0.506,0.538,0.512,0.518
t9-t10,,decompression,foraminotomy,right,0.509,0.497,,0.006,,,0.506,0.506,0.512,0.486
t10-t11,,decompression,foraminotomy,right,0.509,0.464,,0.006,,,0.506,0.473,0.512,0.453
t11-t12,,decompression,foraminotomy,right,0.509,0.425,,0.006,,,0.506,0.435,0.512,0.415
t12-l1,,decompression,foraminotomy,right,0.509,0.3845,,0.006,,,0.506,0.393,0.512,0.373
l1-l2,,decompression,foraminotomy,right,0.509,0.3505,,0.006,,,0.506,0.359,0.512,0.339
l2-l3,,decompression,foraminotomy,right,0.509,0.316,,0.006,,,0.506,0.325,0.512,0.305
l3-l4,,decompression,foraminotomy,right,0.509,0.279,,0.006,,,0.506,0.284,0.512,0.264
l4-l5,,decompression,foraminotomy,right,0.5105,0.2425,,0.009,,,0.506,0.248,0.515,0.228
l5-s1,,decompression,foraminotomy,right,0.513,0.206,,0.014,,,0.506,0.208,0.52,0.188
c1-c2,,decompression,diskectomy,left,0.491,0.876,,0.006,,,0.488,0.879,0.494,0.873
c2-c3,,decompression,diskectomy,left,0.491,0.857,,0.006,,,0.488,0.861,0.494,0.853
c3-c4,,decompression,diskectomy,left,0.491,0.8385,,0.006,,,0.488,0.842,0.494,0.835
c4-c5,,decompression,diskectomy,left,0.491,0.819,,0.006,,,0.488,0.822,0.494,0.816
c5-c6,,decompression,diskectomy,left,0.491,0.8005,,0.006,,,0.488,0.804,0.494,0.797
c6-c7,,decompression,diskectomy,left,0.491,0.7825,,0.006,,,0.488,0.786,0.494,0.779
c7-t1,,decompression,diskectomy,left,0.491,0.7595,,0.006,,,0.488,0.763,0.494,0.756
t1-t2,,decompression,diskectomy,left,0.491,0.7345,,0.006,,,0.488,0.737,0.494,0.732
t2-t3,,decompression,diskectomy,left,0.491,0.7115,,0.006,,,0.488,0.713,0.494,0.71
t3-t4,,decompression,diskectomy,left,0.491,0.6845,,0.006,,,0.488,0.687,0.494,0.682
t4-t5,,decompression,diskectomy,left,0.491,0.6575,,0.006,,,0.488,0.658,0.494,0.657
t5-t6,,decompression,diskectomy,left,0.491,0.6265,,0.006,,,0.488,0.629,0.494,0.624
t6-t7,,decompression,diskectomy,left,0.491,0.593,,0.006,,,0.488,0.595,0.494,0.591
t7-t8,,decompression,diskectomy,left,0.491,0.5635,,0.006,,,0.488,0.566,0.494,0.561
t8-t9,,decompression,diskectomy,left,0.491,0.529,,0.006,,,0.488,0.53,0.494,0.528
t9-t10,,decompression,diskectomy,left,0.491,0.497,,0.006,,,0.488,0.498,0.494,0.496
t10-t11,,decompression,diskectomy,left,0.491,0.464,,0.006,,,0.488,0.465,0.494,0.463
t11-t12,,decompression,diskectomy,left,0.491,0.425,,0.006,,,0.488,0.425,0.494,0.425
t12-l1,,decompression,diskectomy,left,0.491,0.3845,,0.006,,,0.488,0.386,0.494,0.383
