icd10_code,three_digit,long_desc,major,sub_chapter,chapter
S22.070B,S22,"Wedge compression fracture of T9-T10 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.070S,S22,"Wedge compression fracture of T9-T10 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.071A,S22,"Stable burst fracture of T9-T10 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.071B,S22,"Stable burst fracture of T9-T10 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.071S,S22,"Stable burst fracture of T9-T10 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.072A,S22,"Unstable burst fracture of T9-T10 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.072B,S22,"Unstable burst fracture of T9-T10 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.072S,S22,"Unstable burst fracture of T9-T10 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.078A,S22,"Other fracture of T9-T10 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.078B,S22,"Other fracture of T9-T10 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.078S,S22,"Other fracture of T9-T10 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.079A,S22,"Unspecified fracture of T9-T10 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.079B,S22,"Unspecified fracture of T9-T10 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.079S,S22,"Unspecified fracture of T9-T10 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.080A,S22,"Wedge compression fracture of T11-T12 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.080B,S22,"Wedge compression fracture of T11-T12 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.080S,S22,"Wedge compression fracture of T11-T12 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.081A,S22,"Stable burst fracture of T11-T12 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.081B,S22,"Stable burst fracture of T11-T12 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.081S,S22,"Stable burst fracture of T11-T12 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.082A,S22,"Unstable burst fracture of T11-T12 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.082B,S22,"Unstable burst fracture of T11-T12 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.082S,S22,"Unstable burst fracture of T11-T12 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.088A,S22,"Other fracture of T11-T12 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.088B,S22,"Other fracture of T11-T12 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.088S,S22,"Other fracture of T11-T12 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.089A,S22,"Unspecified fracture of T11-T12 vertebra, initial encounter for closed fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.089B,S22,"Unspecified fracture of T11-T12 vertebra, initial encounter for open fracture","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S22.089S,S22,"Unspecified fracture of T11-T12 vertebra, sequela","Fracture of rib(s), sternum and thoracic spine",Injuries To The Thorax,"Injury, poisoning and certain other consequences of external causes"
S14.0XXA,S14,"Concussion and edema of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.0XXS,S14,"Concussion and edema of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.101A,S14,"Unspecified injury at C1 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.101S,S14,"Unspecified injury at C1 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.102A,S14,"Unspecified injury at C2 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.102S,S14,"Unspecified injury at C2 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.103A,S14,"Unspecified injury at C3 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.103S,S14,"Unspecified injury at C3 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.104A,S14,"Unspecified injury at C4 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.104S,S14,"Unspecified injury at C4 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.105A,S14,"Unspecified injury at C5 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.105S,S14,"Unspecified injury at C5 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.106A,S14,"Unspecified injury at C6 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.106S,S14,"Unspecified injury at C6 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.107A,S14,"Unspecified injury at C7 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.107S,S14,"Unspecified injury at C7 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.108A,S14,"Unspecified injury at C8 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.108S,S14,"Unspecified injury at C8 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.109A,S14,"Unspecified injury at unspecified level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.109S,S14,"Unspecified injury at unspecified level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.111A,S14,"Complete lesion at C1 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.111S,S14,"Complete lesion at C1 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.112A,S14,"Complete lesion at C2 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.112S,S14,"Complete lesion at C2 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.113A,S14,"Complete lesion at C3 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.113S,S14,"Complete lesion at C3 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.114A,S14,"Complete lesion at C4 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.114S,S14,"Complete lesion at C4 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.115A,S14,"Complete lesion at C5 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.115S,S14,"Complete lesion at C5 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.116A,S14,"Complete lesion at C6 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.116S,S14,"Complete lesion at C6 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.117A,S14,"Complete lesion at C7 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.117S,S14,"Complete lesion at C7 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.118A,S14,"Complete lesion at C8 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.118S,S14,"Complete lesion at C8 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.119A,S14,"Complete lesion at unspecified level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.119S,S14,"Complete lesion at unspecified level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.121A,S14,"Central cord syndrome at C1 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.121S,S14,"Central cord syndrome at C1 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.122A,S14,"Central cord syndrome at C2 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.122S,S14,"Central cord syndrome at C2 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.123A,S14,"Central cord syndrome at C3 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.123S,S14,"Central cord syndrome at C3 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.124A,S14,"Central cord syndrome at C4 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.124S,S14,"Central cord syndrome at C4 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.125A,S14,"Central cord syndrome at C5 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.125S,S14,"Central cord syndrome at C5 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.126A,S14,"Central cord syndrome at C6 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.126S,S14,"Central cord syndrome at C6 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.127A,S14,"Central cord syndrome at C7 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.127S,S14,"Central cord syndrome at C7 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.128A,S14,"Central cord syndrome at C8 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.128S,S14,"Central cord syndrome at C8 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.129A,S14,"Central cord syndrome at unspecified level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.129S,S14,"Central cord syndrome at unspecified level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.131A,S14,"Anterior cord syndrome at C1 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.131S,S14,"Anterior cord syndrome at C1 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.132A,S14,"Anterior cord syndrome at C2 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.132S,S14,"Anterior cord syndrome at C2 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.133A,S14,"Anterior cord syndrome at C3 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.133S,S14,"Anterior cord syndrome at C3 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.134A,S14,"Anterior cord syndrome at C4 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.134S,S14,"Anterior cord syndrome at C4 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.135A,S14,"Anterior cord syndrome at C5 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.135S,S14,"Anterior cord syndrome at C5 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.136A,S14,"Anterior cord syndrome at C6 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.136S,S14,"Anterior cord syndrome at C6 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.137A,S14,"Anterior cord syndrome at C7 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.137S,S14,"Anterior cord syndrome at C7 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.138A,S14,"Anterior cord syndrome at C8 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.138S,S14,"Anterior cord syndrome at C8 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.139A,S14,"Anterior cord syndrome at unspecified level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.139S,S14,"Anterior cord syndrome at unspecified level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.141A,S14,"Brown-Sequard syndrome at C1 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.141S,S14,"Brown-Sequard syndrome at C1 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.142A,S14,"Brown-Sequard syndrome at C2 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.142S,S14,"Brown-Sequard syndrome at C2 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.143A,S14,"Brown-Sequard syndrome at C3 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.143S,S14,"Brown-Sequard syndrome at C3 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.144A,S14,"Brown-Sequard syndrome at C4 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.144S,S14,"Brown-Sequard syndrome at C4 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.145A,S14,"Brown-Sequard syndrome at C5 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.145S,S14,"Brown-Sequard syndrome at C5 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.146A,S14,"Brown-Sequard syndrome at C6 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.146S,S14,"Brown-Sequard syndrome at C6 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.147A,S14,"Brown-Sequard syndrome at C7 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.147S,S14,"Brown-Sequard syndrome at C7 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.148A,S14,"Brown-Sequard syndrome at C8 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.148S,S14,"Brown-Sequard syndrome at C8 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.149A,S14,"Brown-Sequard syndrome at unspecified level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.149S,S14,"Brown-Sequard syndrome at unspecified level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.151A,S14,"Other incomplete lesion at C1 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.151S,S14,"Other incomplete lesion at C1 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.152A,S14,"Other incomplete lesion at C2 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.152S,S14,"Other incomplete lesion at C2 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.153A,S14,"Other incomplete lesion at C3 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.153S,S14,"Other incomplete lesion at C3 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.154A,S14,"Other incomplete lesion at C4 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.154S,S14,"Other incomplete lesion at C4 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.155A,S14,"Other incomplete lesion at C5 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.155S,S14,"Other incomplete lesion at C5 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.156A,S14,"Other incomplete lesion at C6 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.156S,S14,"Other incomplete lesion at C6 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.157A,S14,"Other incomplete lesion at C7 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.157S,S14,"Other incomplete lesion at C7 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.158A,S14,"Other incomplete lesion at C8 level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.158S,S14,"Other incomplete lesion at C8 level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.159A,S14,"Other incomplete lesion at unspecified level of cervical spinal cord, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.159S,S14,"Other incomplete lesion at unspecified level of cervical spinal cord, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.2XXA,S14,"Injury of nerve root of cervical spine, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.2XXS,S14,"Injury of nerve root of cervical spine, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.5XXA,S14,"Injury of cervical sympathetic nerves, initial encounter",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S14.5XXS,S14,"Injury of cervical sympathetic nerves, sequela",Injury of nerves and spinal cord at neck level,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S32.000A,S32,"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for closed fracture",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.000B,S32,"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for open fracture",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.000S,S32,"Wedge compression fracture of unspecified lumbar vertebra, sequela",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.001A,S32,"Stable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.001B,S32,"Stable burst fracture of unspecified lumbar vertebra, initial encounter for open fracture",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.001S,S32,"Stable burst fracture of unspecified lumbar vertebra, sequela",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.002A,S32,"Unstable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.002B,S32,"Unstable burst fracture of unspecified lumbar vertebra, initial encounter for open fracture",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.002S,S32,"Unstable burst fracture of unspecified lumbar vertebra, sequela",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
S32.008A,S32,"Other fracture of unspecified lumbar vertebra, initial encounter for closed fracture",Fracture of lumbar spine and pelvis,"Injuries To The Abdomen, Lower Back, Lumbar Spine, Pelvis And External Genitals","Injury, poisoning and certain other consequences of external causes"
